query,positive,negative,positive_source,negative_source
Do we need to let someone know when we're done so they can start getting things in order?,"inform the National Emergency Operation Centre of return upon completion of the work'
6 The National Emergency operation centre shall prepare a priority work-plan for the
purpose of incoming and outgoing members of Search and Rescue Team and Humanitarian
Assistance group urid bringing in rescue and relief materials via air or land.","and prepare an analvtical report
MoHA
8. Future Courses of Actions on Emergency Response Preparedness
In order to implement the aforementioned response activities, it will be necessary to prepare the
response preparedness plan of action. This framework provisions for the development of following
action plan under the leadership of the agencies mentioned below:",113.pdf,113.pdf
Do we need to work with other countries' teams to help respond to disasters here?,"7 Government of Nepal shall do a bilateral and multilateral agreement with friendly and
neighboring countrils as necessary based on agreed procedures to support disaster response
inciuding entry process of the Search and Rescue Team'
8 If required, Government of Nepal may request for and manage internationa] mi||tarv","Notionql Disaster Response Framework 2073
Page | 5
4 Government of Nepal shall ensure the coordination of international humanitarian
communities and facilitate the establishment of Reception and Departure Centre for them at
the airport and set up Base Camp for the Search and Rescue Team'
5 Members of Search and Rescue Team and other humanitarian assistance groups should",113.pdf,113.pdf
How does this plan help coordinate different teams and resources during an emergency situation?,"assistance in accordance with the Guideiines for Accepting International Military
As.sistance/Guidelines Jbr the Civil and Military- DeJense Assets'
g coordination mechanism among National Emergency operation center (NEOC/LEMA)'
Onsite Operation Coordination Centre (OSOCC)' Multi National Military Coordination
Centre (MNMCC) shall be automatically established for the effective coordination during","Contact between the Onsite Operation Coordination Centre and Multi National Military
Coordination centre shall be maintained through the National Emergency operation center'
The coordination framework shall be as fbllows:
UN Alen(ie!
F*nds &
Progrtmma
Multi-Nationai
Militarv
Coordination
C?ntc i
(MNMCC)
Central Natural
Disaster Relief
Committee {CNDRC}
On Site
Operali ons
CogIdinatiol",113.pdf,113.pdf
Does the government have a special group that helps respond to emergencies?,"mega disaster. ln times of disaster, the National Emergency operation center shall act as
the secretariat fbr the Central Natural Disaster Relief Committee as well as the response
operation coordination centre. lt can invite search and rescue and humanitarian assistance
agencies working in Nepal for meeting and discussion'","Association, FNCCI, Telecommunications Authority, Nepal Engineering Association,
and concerned expert agencies.
The following agencies shall coordinate the disaster response activities as mentioned below:
Timeline Operational Activities Responsible Lead
Asencies
0-lhour
l. Give early information on earthquake National Seismological
Centre",113.pdf,113.pdf
How do emergency response teams usually communicate with each other during a disaster?,"Contact between the Onsite Operation Coordination Centre and Multi National Military
Coordination centre shall be maintained through the National Emergency operation center'
The coordination framework shall be as fbllows:
UN Alen(ie!
F*nds &
Progrtmma
Multi-Nationai
Militarv
Coordination
C?ntc i
(MNMCC)
Central Natural
Disaster Relief
Committee {CNDRC}
On Site
Operali ons
CogIdinatiol","assistance in accordance with the Guideiines for Accepting International Military
As.sistance/Guidelines Jbr the Civil and Military- DeJense Assets'
g coordination mechanism among National Emergency operation center (NEOC/LEMA)'
Onsite Operation Coordination Centre (OSOCC)' Multi National Military Coordination
Centre (MNMCC) shall be automatically established for the effective coordination during",113.pdf,113.pdf
Are there certain people or groups in charge of keeping track of what's happening during a disaster response?,"On Site
Operali ons
CogIdinatiol
Cent.r (OSOCCi
Figural : Coordination m*hanisms bet'!es] Internationai and N3tionalActoib
Ptgt i tt
l0 There shall be separate focal persons in the above mentioned coordinating agencies. Those
focal persons shall have regular meetings to review, analyze and evaluate the situation. In","Contact between the Onsite Operation Coordination Centre and Multi National Military
Coordination centre shall be maintained through the National Emergency operation center'
The coordination framework shall be as fbllows:
UN Alen(ie!
F*nds &
Progrtmma
Multi-Nationai
Militarv
Coordination
C?ntc i
(MNMCC)
Central Natural
Disaster Relief
Committee {CNDRC}
On Site
Operali ons
CogIdinatiol",113.pdf,113.pdf
Who's supposed to be in charge of getting in touch with the main emergency center during a disaster?,"normal situation, the focal persons shall work as the disaster focal point of the respective
Ministries/Departments/Offices and also liaise with the international asencies for effective
disaster preparedness and response.
1l Disaster focal point of each Ministry and Department shall have to contact the National
Emergency operation centre and come on their own in times of disaster.","2. Objectives and Scope-- -------------- 3
3. National System for Disaster Response --------- 3
4. International Assistance for Disaster Response -------------- 4
5. National and International Assistance and Coordination Structure
6, Special Operation Arrangement for National Disaster Response--- -------------------- 7
7. National Framework for Disaster Response ------------- 8",113.pdf,113.pdf
How does the response team set up to work with the government and other groups to coordinate relief efforts at the disaster site?,"12 On-Site Operations Coordination Center (OSOCC) shall link between international
responders and Government of Nepal; provide a system for coordinating and facilitating
the activities of international relief efforts at a disaster site; provide a platform for
cooperation, coordination and information management among national and international","humanitarian agencies. UN Humanitarian Coordinator shall appoint the focal
person/agency for overall coordination of OSOCC.
13 Based on the need and existing situation, the Government of Nepal may accept or reject
incoming members of Search and Rescue and humanitarian support agencies as well as the
materials and equipments during mega disasters. Reception and departure centers shall be",113.pdf,113.pdf
Does the government get to decide which foreign help it accepts during a big disaster?,"humanitarian agencies. UN Humanitarian Coordinator shall appoint the focal
person/agency for overall coordination of OSOCC.
13 Based on the need and existing situation, the Government of Nepal may accept or reject
incoming members of Search and Rescue and humanitarian support agencies as well as the
materials and equipments during mega disasters. Reception and departure centers shall be","12 On-Site Operations Coordination Center (OSOCC) shall link between international
responders and Government of Nepal; provide a system for coordinating and facilitating
the activities of international relief efforts at a disaster site; provide a platform for
cooperation, coordination and information management among national and international",113.pdf,113.pdf
Does the government have a system in place to organize and coordinate the arrival of help from outside when a disaster happens?,"established at the Tribhuvan International Airport and other strategic locations to facilitate
the arrival and departure of humanitarian and military teams and assets during disaster.
l4 International Non-Governmental Organizations that come to Nepal to provide humanitarian
assistance during disaster may do so at the direction of the Government of Nepal and in","Notionql Disaster Response Framework 2073
Page | 5
4 Government of Nepal shall ensure the coordination of international humanitarian
communities and facilitate the establishment of Reception and Departure Centre for them at
the airport and set up Base Camp for the Search and Rescue Team'
5 Members of Search and Rescue Team and other humanitarian assistance groups should",113.pdf,113.pdf
How do they decide when to call in military help for a disaster?,"close coordination with Government bodies, local authorities and local NGOs.
15 Multi-National Military Coordination Center (MNMCC), under the direction of the
Ministry of Home Affairs, in coordination with the NEOC and OSOCC and in the
leadership of Nepalese Army, shall mobilize army manpower as necessary.
6. Special Operation Arrangement for National Disaster Response","assistance in accordance with the Guideiines for Accepting International Military
As.sistance/Guidelines Jbr the Civil and Military- DeJense Assets'
g coordination mechanism among National Emergency operation center (NEOC/LEMA)'
Onsite Operation Coordination Centre (OSOCC)' Multi National Military Coordination
Centre (MNMCC) shall be automatically established for the effective coordination during",113.pdf,113.pdf
"So, before a disaster even happens, how do people get ready to respond to it?","For the efl'ective implementation of the National Disaster Response Framework, there shall be
the following special operation arrangement in place:
I Response preparedness activities include collection, analysis and dissemination of early
information on disasters, damage and needs assessments, regulating, awareness/capacity","2. Objectives and Scope-- -------------- 3
3. National System for Disaster Response --------- 3
4. International Assistance for Disaster Response -------------- 4
5. National and International Assistance and Coordination Structure
6, Special Operation Arrangement for National Disaster Response--- -------------------- 7
7. National Framework for Disaster Response ------------- 8",113.pdf,113.pdf
Is it the emergency responders who are usually in charge of determining what needs to be done first during a disaster?,"building, coordination, and logistic or relief prepositions. Timely response readiness is the
responsibility of responders.
2 Immediate humanitarian service of the emergency response include the coordination;
assessment; immediate priority services (search and rescue, logistics, medicaVhealth, water","Response Framework has been prepared for the effective coordination and implementation of
disaster preparedness and response activities by developing a National Disastei Response plan
that clarifies the roles and responsibilities of Government and Non Government asencies
involved in disaster risk management in Nepal.
Objectives and Scope",113.pdf,113.pdf
How do communities prioritize the different needs that come up right after a disaster happens?,"and sanitation, shelter); restoration of critical infrastructure (roads, electricity, airport,water supply pipelines, communication, cultural heritages); provision of immediate
humanitarian services (registration and tracking, food, NFIs, medicine, fuel supply);
protection of vulnerable groups (nutrition support to children under 5 , p.""gnuni'und","disasters, or directly to save lives and property; maintain law and order; care for sick,
injured and vulnerable people; provide essential services (lifeline utilities, food, shelter.
public information and media); and protect public property"".
The scope of this framework is limited to preparedness and emergency response at
national, regional, district and VDC/local level.",113.pdf,113.pdf
"What's the role of the different organizations involved in responding to a disaster, and how do they work together?","lactating women); security; evacuation/safe and open space set up; fire, debris:and dead
body management. Effective implementation of these activities - based on existins national
and international standards - is the responsibility ofthe responders.
3 The responsible Ministries, Departments, Sections, Clusters, Red Cross Movements,","I/NGOs, community based organizations shall have to execute their designated function for
effective disaster response.
Ndtional Disaster Response Frdmework 2013
Page | 7
The National Emergency Operation Centre shall assess the capacity and maintain the
records of experts, SAR materials and equipments, list and capacity of hospitals, blood",113.pdf,113.pdf
Do we have some kind of central place that keeps track of resources and experts so they're ready in case of an emergency?,"I/NGOs, community based organizations shall have to execute their designated function for
effective disaster response.
Ndtional Disaster Response Frdmework 2013
Page | 7
The National Emergency Operation Centre shall assess the capacity and maintain the
records of experts, SAR materials and equipments, list and capacity of hospitals, blood","For the efl'ective implementation of the National Disaster Response Framework, there shall be
the following special operation arrangement in place:
I Response preparedness activities include collection, analysis and dissemination of early
information on disasters, damage and needs assessments, regulating, awareness/capacity",113.pdf,113.pdf
What happens when they set up a central command post during an emergency?,"bank and stocks, emergency communication equipments, ambulances, etc. in a timely
manner.
During the emergency response, NEOC shall activate its level 4 operation as stated in
NEOC Standard Operating Procedure, including the establishment of command post within
NEOC compound; establishment of media management center within","NEOC/DEOC/DDRC; deployment of Disaster Response Focal Points from the concerned
ministries at NEOC; coordination and deployment of relief consignments; REOC/DEOC
activation and networking; information dissemination by TV, Radio, and SMS; and regular
information updates to public and disaster victims.
The Emergency Executive Members Meeting shall be conducted immediately after the",113.pdf,113.pdf
"What's the role of these emergency executive meetings in, um, handling an emergency situation?","NEOC/DEOC/DDRC; deployment of Disaster Response Focal Points from the concerned
ministries at NEOC; coordination and deployment of relief consignments; REOC/DEOC
activation and networking; information dissemination by TV, Radio, and SMS; and regular
information updates to public and disaster victims.
The Emergency Executive Members Meeting shall be conducted immediately after the","Notional Disoster Response Fromework 2073
Page | 9
Timeline Operational Activities Responsible Lead
Asencies
rescue of the victims of such hazard. Technology and
Environment
16. Coordination with national and international stakeholders for
Dotential suDDort
MoHA/CNDRC
17. Mobilize NEOC as disaster response focal point NEOC
18. Deploy Search and Rescue teams for immediate rescue of the
survivors",113.pdf,113.pdf
Who's supposed to be making the decisions during this meeting?,"incident report received from DDRC. The meeting shall be chaired by Secretary (MoHA),
and other members including Joint Secretary (Disaster Management Division), Chief of
NEOC, and Chief (Disaster Management Section). The meeting shall analyze the situation
based on the incident report and decide the immediate actions to be taken.","information from the electronic media
MoIC. MoHA
0-7 hours
6. Disseminate early information on waterbome disaster Dept of hydrology and
meteorolosv
7. Prepare situation report CDO/DDRC
8. DDRC meetins DAO/DDRC
9. Emergency meeting at MoHA MOHA/NEOC
10. NEOC starts activates as per its SOp for emergency
management I
MoHA/NEOC
I l. Develop emergency communication system and disseminaG",113.pdf,113.pdf
Who's in charge of coordinating the rescue efforts in the emergency situation?,"The military command post shall be established within the compound of NEOC in order to
mobilize rescue and relief teams immediately. The command post team shall be led by
Chief (Joint Secretary) from the Disaster Management Division, and other members
including Brigadier General from the Directorate of Military Operation, Nepalese Army;","DIG from the Operation Division, Nepal Police; and DIG from Operation Division, Armed
Police Force.
The chief of NEOC shall act as the Disaster Response Focal Point. The response focal
person from the concerned Ministries, Departments, and Security agencies shall work
under the leadership of the Chief of NEOC.
NEOC shall coordinate with the relevant Ministries/Departments/Offices and facilitate",113.pdf,113.pdf
,"DIG from the Operation Division, Nepal Police; and DIG from Operation Division, Armed
Police Force.
The chief of NEOC shall act as the Disaster Response Focal Point. The response focal
person from the concerned Ministries, Departments, and Security agencies shall work
under the leadership of the Chief of NEOC.
NEOC shall coordinate with the relevant Ministries/Departments/Offices and facilitate","The military command post shall be established within the compound of NEOC in order to
mobilize rescue and relief teams immediately. The command post team shall be led by
Chief (Joint Secretary) from the Disaster Management Division, and other members
including Brigadier General from the Directorate of Military Operation, Nepalese Army;",113.pdf,113.pdf
Is there a plan in place for how Nepal's government would follow up after a disaster to make sure things are getting back to normal?,"early recovery operations in parallel with the emergency response operation in accordance
to this framework.
The Government of Nepal shall review and amend the National Disaster Response
Framework as necessary based on the recommendation of the CNDRC meeting.
The rescue and humanitarian assistance operation shall be monitored and evaluated at the","Objectives and Scope
The main purpose of this framework is to develop a clear, concise and comprehensive
national disaster response liamework for Nepal that can guide a more effictive and
coordinated national response in case ofa large scale disaster.
National Disaster Response means ""actions taken immediately before, during and after the",113.pdf,113.pdf
How do the different levels of disaster management organizations communicate with each other in relation to a disaster?,"national and district level by CNDRC and DDRC respectively. RDRC shall monitor and
evaluate the performance of DDRCs. The district level information needs is to be sent to
the CNDRC.
7, National Framework for Disaster Response
l. Upon the receipt of disaster/potential disaster information from the districts or local level,","levels.
The formation of Central Natural Disaster Relief Committee (CNDRC), Regional Disaster
Relief commiffee (ttDRC), District Disaster Relief committee (DDRC) and Local Disaster
Relief Committee (LDRC) is mandated by the Natural Calamity Relief Act 1982 for the
overall disaster response in Nepal. In addition, there are Supply, Shelter and Rehabilitation",113.pdf,113.pdf
"Do these emergency meetings happen right at the start of a disaster, or are they more of a response to some kind of crisis?","the following iead agencies shall carry out the operational activities as specified in the
matrix below.
CNDRC, RDRC and DDRC shall organize an emergency meeting in coordination with
Government agencies, International and national NGOs as per the need.
Emergency operation centers at national, regional, district and municipality level shall","sub-committee and Relief and Treatment sub-committee at the central level. In order to
collect, analyze, disseminate and coordinate disaster related information, Emergency
Operation Centers (EOCs) are functional at the central, regional, district and municipality
level.
As provisioned by the Local Self Governance Act 2055, local bodies (DDC, Municipalities",113.pdf,113.pdf
How exactly do different groups involved in disaster response typically communicate and work together to help people during an emergency?,"coordinate with different organizations to make disaster response activities effective.
10
l1
2.
3.
Notianal Disdster Response Fromework 2413
Page | 8
4. Within the respective mandate and scope, the following organizations including the
Disaster Management Division of MoHA, shall work as support agencies in disaster
response management:","I/NGOs, community based organizations shall have to execute their designated function for
effective disaster response.
Ndtional Disaster Response Frdmework 2013
Page | 7
The National Emergency Operation Centre shall assess the capacity and maintain the
records of experts, SAR materials and equipments, list and capacity of hospitals, blood",113.pdf,113.pdf
Are these groups involved in coordinating efforts during emergencies or crises?,"response management:
CNDRC members; Ministry of Finance, Foreign Affairs, Defense, Health and
Population, Federal Affairs and Local Development, Agricultural Development;
NHRC; Social Welfare Council; Department of Immigration, Waterborne Disaster
Control, Health Service, Livestock, Hydrology and Meteorology, Road, Urban
Development and Building Construction, Drug Management; Central Bureau of","CNDRC Central Natural Disaster Relief
Committee
DC Department of Custom
DDA Department of Drug Administration
DDRC District Disaster Relief Committee
DEOC District Emergency Operation Center
DHM Department of Hydrology and
Meteorology
DHS Department of Health Services
DI Department of lmmigration
DIG Deputy Inspector General ofPolice
DLS Department of Livestock Services",113.pdf,113.pdf
What kind of emergency response teams are typically involved in disaster relief efforts in Nepal?,"Statistics; National Seismological Centre; Waste Management Centre; National
Trauma Centre; Nepalese fu-yt Nepal Police; Armed Police Force; Fire Brigade
Office; Search and Rescue Team, RDRC/DDRC; DDCs; Local level Government
Offices; Civil Aviation Authority; Nepal Food Corporation; and other concerned
Ministries, Departments and Governmental and Non-Governmental Organization. UN","DPNet, media, Community Based Organizations, Community Volunteers, Medical
Associations, NSS, Press council, Federation of Nepalese Journalists, Nepal
television, Radio Nepal and other means of communications, Himalayan Rescue
organization, Mountaineering Training Academy, civil Aviation association,
medical council, Nepal Nursing Council, Builder's Association, Transportation",113.pdf,113.pdf
"Do I remember that in emergency situations, various groups and organizations work together to provide support in different areas?","Resident/Humanitarian Coordinator and UN agencies (UNDP, UNICEF, WHO,
WFP, FAO, UNFPA, UNOCHA, IOM, UNHABITAT. UNHCR. UNDSS): retevant
Clusters; multinational Organizations; ICIMOD; Diplomatic Missions; SAARC;
INGOs, Red Cross movements; International Civil Aviation Organization.
Nepal Red Cross Society, Nepal SCOUT, government and private hospitals, NAST,","/NHRC
MoIC MoHP MOFALD
Cluster Co-
leads
(Humanitarian
Asencies,
wHo UNICEF IFRC/
UNHA
BITAT
WFP/FAO WFP TOM UNICUIl'
SC
UNHRC/
UNICEF/
UNFPA
WFP UNICEF UNDP
3 As requested by the Government of Nepal, UN Humanitarian Coordinator of Nepal shallcoordinate for International urban Search and Rescue (usAR) team (based on uNINSARAG Guidelines) and UN Disaster Assessment and coordination Team.",113.pdf,113.pdf
Are there certain groups or organizations that are prioritized in emergency situations?,"DPNet, media, Community Based Organizations, Community Volunteers, Medical
Associations, NSS, Press council, Federation of Nepalese Journalists, Nepal
television, Radio Nepal and other means of communications, Himalayan Rescue
organization, Mountaineering Training Academy, civil Aviation association,
medical council, Nepal Nursing Council, Builder's Association, Transportation","Statistics; National Seismological Centre; Waste Management Centre; National
Trauma Centre; Nepalese fu-yt Nepal Police; Armed Police Force; Fire Brigade
Office; Search and Rescue Team, RDRC/DDRC; DDCs; Local level Government
Offices; Civil Aviation Authority; Nepal Food Corporation; and other concerned
Ministries, Departments and Governmental and Non-Governmental Organization. UN",113.pdf,113.pdf
What's the process for getting initial information out to the public after a disaster strikes?,"Association, FNCCI, Telecommunications Authority, Nepal Engineering Association,
and concerned expert agencies.
The following agencies shall coordinate the disaster response activities as mentioned below:
Timeline Operational Activities Responsible Lead
Asencies
0-lhour
l. Give early information on earthquake National Seismological
Centre","mega disaster. ln times of disaster, the National Emergency operation center shall act as
the secretariat fbr the Central Natural Disaster Relief Committee as well as the response
operation coordination centre. lt can invite search and rescue and humanitarian assistance
agencies working in Nepal for meeting and discussion'",113.pdf,113.pdf
How do people in the community get information about what's happening during a disaster?,"Centre
2. hovide instruction on response to fire incidences DDC. Municipality and
VDC Ofhces
3. Provide instruction fbr immediate search and rescue and
mobilize security force for rescue operation
DDRCs and Security
Force
4. Public reporting on the extent of disaster and rescue efforts MoHA/NEOC
5. Establish the emergency information system and disseminate the","development for Rescue Operations
and Humanitarian Assistance at
national. resional and district level
NEOC MoFIA, DDRC/DEOC Within I
year
30 Development of the outline of
standards and norms for Assistance
from the Calamitv Relief Fund
CNDRC MoHA, Cabinet Within I
year
31 Development of Victims Registration
and Tracking Tools, and database
manasement
NEOC MoHA, Central Bureau of Statistics,",113.pdf,113.pdf
,"information from the electronic media
MoIC. MoHA
0-7 hours
6. Disseminate early information on waterbome disaster Dept of hydrology and
meteorolosv
7. Prepare situation report CDO/DDRC
8. DDRC meetins DAO/DDRC
9. Emergency meeting at MoHA MOHA/NEOC
10. NEOC starts activates as per its SOp for emergency
management I
MoHA/NEOC
I l. Develop emergency communication system and disseminaG","incident report received from DDRC. The meeting shall be chaired by Secretary (MoHA),
and other members including Joint Secretary (Disaster Management Division), Chief of
NEOC, and Chief (Disaster Management Section). The meeting shall analyze the situation
based on the incident report and decide the immediate actions to be taken.",113.pdf,113.pdf
What kind of organizations are typically in charge of helping communities respond to emergencies and getting information to them about what's going on?,"regular information for the public awareness through radio, TV,
SMS etc. i
NEOC/REOC/DEOC
12. 6. CNDRC meetins MoHA/NEOC
0-24 hours I 3. Information about post disaster epidemics and its response EDCD
14. Coordination for animal disease control and manasement Dept. oflivestock
15. lnformation about Nuclear Bioloeical and Chemical Hazard and Ministrv of Science.","information from the electronic media
MoIC. MoHA
0-7 hours
6. Disseminate early information on waterbome disaster Dept of hydrology and
meteorolosv
7. Prepare situation report CDO/DDRC
8. DDRC meetins DAO/DDRC
9. Emergency meeting at MoHA MOHA/NEOC
10. NEOC starts activates as per its SOp for emergency
management I
MoHA/NEOC
I l. Develop emergency communication system and disseminaG",113.pdf,113.pdf
Who's in charge of making sure people are rescued right away when a disaster happens?,"Notional Disoster Response Fromework 2073
Page | 9
Timeline Operational Activities Responsible Lead
Asencies
rescue of the victims of such hazard. Technology and
Environment
16. Coordination with national and international stakeholders for
Dotential suDDort
MoHA/CNDRC
17. Mobilize NEOC as disaster response focal point NEOC
18. Deploy Search and Rescue teams for immediate rescue of the
survivors","NEOC/DEOC/DDRC; deployment of Disaster Response Focal Points from the concerned
ministries at NEOC; coordination and deployment of relief consignments; REOC/DEOC
activation and networking; information dissemination by TV, Radio, and SMS; and regular
information updates to public and disaster victims.
The Emergency Executive Members Meeting shall be conducted immediately after the",113.pdf,113.pdf
What's the order of priority for emergency responses like evacuation and medical care?,"survivors
DEOC and security
forces
19. Provide first aid to the iniured Red Cross/hosoitals
20. Evacuation for treatment to severelv iniured victims MoHA,/hospitals
21. Fire extinsuish or control Municioalitv
22. CNDRC Meeting and emergency declaration CNDRC/Cabinet
23. Initial Raoid Assessment (IRA) DDRC/DEOC
24. Activation of UN Cluster LIN HC","Centre
2. hovide instruction on response to fire incidences DDC. Municipality and
VDC Ofhces
3. Provide instruction fbr immediate search and rescue and
mobilize security force for rescue operation
DDRCs and Security
Force
4. Public reporting on the extent of disaster and rescue efforts MoHA/NEOC
5. Establish the emergency information system and disseminate the",113.pdf,113.pdf
Do they have a way of getting information out to the public during an emergency?,"24. Activation of UN Cluster LIN HC
25. Appeal for National and hternational Assistance Cabinet
26. Establish Media Management Center within
NEOC/REOC/DEOC
NEOC/REOC/DEOC
27. Aimort Security and Air traflic management CAAN
28. Restore road communications Dept. of Road
29. Evacuation and crowd management, communication, dead body
handling of foreign tourist, diplomats, and others from the","NEOC/DEOC/DDRC; deployment of Disaster Response Focal Points from the concerned
ministries at NEOC; coordination and deployment of relief consignments; REOC/DEOC
activation and networking; information dissemination by TV, Radio, and SMS; and regular
information updates to public and disaster victims.
The Emergency Executive Members Meeting shall be conducted immediately after the",113.pdf,113.pdf
What's the protocol for getting aid and resources to people in need after a disaster?,"affected areas
MoFA
24 - 48 hrs
30. Management of transportation facilities for search and rescue
materials and eouipment
DoTM
31. Availability of basic food items for survivals and IDPs MoCS
3 2. Regi stration and faci litation of International Humanitarian
Communities (IHC) and relief consignments
MoFA/SWC
33. Visa fees and custom duty exemptions at enry points (land or
air) to IHC
DC and DI","of Settlements
DWSS
38. Waste disposal for general solid waste, biological and hazardous
waste oroduced
SWMC
39. Maintenance of Law and Order around Warehouse, IDP Camps'
personnel, humanitarian convoy, protect property and security in
affected areas
MoHA
40. Registration and tracking ofaffected families; issuance of
Victims ID card and maintain database at districts and central
level
DDRC",113.pdf,113.pdf
Don't they have temporary medical facilities set up in areas where people have been displaced due to some kind of disaster?,"air) to IHC
DC and DI
34. Coordination and deployment of relief consignments NEOC/DEOC
35. Electricity services to be made available to hospitals/health
centers/medical centerVIDP Camps, schools
NEA
36. Establishment of field hospitals at affected site EDCD
37. Water Supply, Sanitation and Hygiene facilities to be provided
to hospitals, medical centers, IDP Camps, Schools, Other types","back to normal life
Dept of Education
59. Provide minimum essential services and security at the
hospitals, schools etc in the camp sites
DIJDBC
60. Conduct Early Recovery Assessment and Plan Development
Covering key sector includins shelter, livelihood etc.
DUDBC
61 . Document the lesson learnt on search and rescue efforts,
immediate relief, camp management and rehabilitation efforts",113.pdf,113.pdf
How does the government deal with people who've lost their homes in a disaster?,"of Settlements
DWSS
38. Waste disposal for general solid waste, biological and hazardous
waste oroduced
SWMC
39. Maintenance of Law and Order around Warehouse, IDP Camps'
personnel, humanitarian convoy, protect property and security in
affected areas
MoHA
40. Registration and tracking ofaffected families; issuance of
Victims ID card and maintain database at districts and central
level
DDRC","level
DDRC
41. Restoration oftelecommunication services as soon as possible MoIC
48 - 72hrs
42. Rapid assessment ofexisting hospitals, schools, health facilities
alons with bridees. roads and others for structural damages
MoHA
43. Debris Management (collection and disposal) including dead
animals
Municipality/VDC
44. Collection and management of animal carcass MuniciDalitv/VDC",113.pdf,113.pdf
"How do they usually handle the aftermath of a disaster when it comes to dealing with, you know, the stuff that's left behind?","level
DDRC
41. Restoration oftelecommunication services as soon as possible MoIC
48 - 72hrs
42. Rapid assessment ofexisting hospitals, schools, health facilities
alons with bridees. roads and others for structural damages
MoHA
43. Debris Management (collection and disposal) including dead
animals
Municipality/VDC
44. Collection and management of animal carcass MuniciDalitv/VDC","of Settlements
DWSS
38. Waste disposal for general solid waste, biological and hazardous
waste oroduced
SWMC
39. Maintenance of Law and Order around Warehouse, IDP Camps'
personnel, humanitarian convoy, protect property and security in
affected areas
MoHA
40. Registration and tracking ofaffected families; issuance of
Victims ID card and maintain database at districts and central
level
DDRC",113.pdf,113.pdf
What process is in place for handling people who don't make it through a disaster?,"45. Distribution of immediate lif'esaving relief materials to the
survivors as Der the asreed standards
CDO/DDRC
72hrs - 7
days
46. Proper management ofdead body including cremation and
issuance of death certificates
DDRC
47. Special protection arrangement at the camps and distribution
sites for the orotection of women, children, elderly, disabled
MoWCSW","survivors
DEOC and security
forces
19. Provide first aid to the iniured Red Cross/hosoitals
20. Evacuation for treatment to severelv iniured victims MoHA,/hospitals
21. Fire extinsuish or control Municioalitv
22. CNDRC Meeting and emergency declaration CNDRC/Cabinet
23. Initial Raoid Assessment (IRA) DDRC/DEOC
24. Activation of UN Cluster LIN HC",113.pdf,113.pdf
"Do they send people to assess the situation at first, and then do other stuff afterwards?","MoWCSW
48. Multi-Cluster lnitial Rapid Assessment (MIRA) Activation UN OCHA
Nationol Disaster Response Framework 2O73
Pase | 10
Timeline Operational Activities Responsible Lead
Asencies
49. Distribution of non-food items such as cooking utensils, fuel,
clothes, blanket, family kits, baby kits, hygiene kits
NRCS
7 days-2
weeks
50. Set up oftemporary shelterin the pre-determined safe and","Timeline
22 Prepare unit team in each security
agencies equipped with the disaster
management tools and equipment
including fire engine
Security forces MoHA. MoD. MoF Within
1 year
z-) Development of Guidelines for
acceptin g international military
asslslance
MoD MoFIA. MoFA. NA Within
1 year
24 Develop Special Operating Procedure
for OSOCC. MNMCC
NEOC MoHA, NA, OCHA, Clusters,
Donors
Within",113.pdf,113.pdf
Do we have any specific safety protocols in place for families who are being relocated?,"open/evacuation sites for displaced families
MoUD
51. Monitorins of SAM children in the camos MoHP
52. Vector borne disease control in the ooen/evacuation sites EDCD
53. monitorine and reportinq of humanitarian response and relief DDRC
54. Ensure safe environment for survivors particularly the
vulnerable grouos. and control sender based violence
DWDO","survivors
DEOC and security
forces
19. Provide first aid to the iniured Red Cross/hosoitals
20. Evacuation for treatment to severelv iniured victims MoHA,/hospitals
21. Fire extinsuish or control Municioalitv
22. CNDRC Meeting and emergency declaration CNDRC/Cabinet
23. Initial Raoid Assessment (IRA) DDRC/DEOC
24. Activation of UN Cluster LIN HC",113.pdf,113.pdf
What happens to kids when their schools get damaged or closed after a disaster?,"DWDO
55. Psychological rehabilitation to person with mental trauma MoHP
56. Social support to unaccompanied children, disabled and elderly
who have lost their supporting family members; and reunion of
their lost members or relatives
MoWCSWDWDO
2 weeks - 1
month
57. Cash or other assistance to affected populations DDRC
58. Re-start schools to help children feel secure and help them to go","back to normal life
Dept of Education
59. Provide minimum essential services and security at the
hospitals, schools etc in the camp sites
DIJDBC
60. Conduct Early Recovery Assessment and Plan Development
Covering key sector includins shelter, livelihood etc.
DUDBC
61 . Document the lesson learnt on search and rescue efforts,
immediate relief, camp management and rehabilitation efforts",113.pdf,113.pdf
What happens to the basic services and security for places like schools and hospitals once the disaster relief efforts are underway?,"back to normal life
Dept of Education
59. Provide minimum essential services and security at the
hospitals, schools etc in the camp sites
DIJDBC
60. Conduct Early Recovery Assessment and Plan Development
Covering key sector includins shelter, livelihood etc.
DUDBC
61 . Document the lesson learnt on search and rescue efforts,
immediate relief, camp management and rehabilitation efforts","air) to IHC
DC and DI
34. Coordination and deployment of relief consignments NEOC/DEOC
35. Electricity services to be made available to hospitals/health
centers/medical centerVIDP Camps, schools
NEA
36. Establishment of field hospitals at affected site EDCD
37. Water Supply, Sanitation and Hygiene facilities to be provided
to hospitals, medical centers, IDP Camps, Schools, Other types",113.pdf,113.pdf
